ຈູ່ໂຈມຕີ,attack,chu chom ti,v
ຈູ້,place in contact,chu,v
ຈູ້ຈີ້,trouble,chu chi,v
ຈູ້ຈີ້,harass,chu chi,v
ຈູ້ຈີ້,annoy,chu chi,v
ຈູ້ສົບຈູ້ປາກ,pout,chu sop chu pak,v
ຈູ້ປາກ,hush,chu pak,v
ເຈດີ,"stupa (that, cheddi)",chae dee,n
ເຈດີສະຖານ,stupa containing a sacred Buddha image or relic,chae dee sa than,n
ເຈດີຍະສະຖານ,a sacred place,chae dee nya sa than,n
ເຈຕະ,thought,chae ta,n
ເຈຕະ,mind,chae ta,n
ເຈຕະ,intellect,chae ta,n
ເຈຕະສິກ,mood,chae ta sik,n
ເຈຕະສິກ,temperament,chae ta sik,n
ເຈຕະສິກ,emotion,chae ta sik,n
ເຈຣະຈາ,negotiate,chae ra cha,v
ເຈຕະນາ,determination,chae ta na,n
ເຈຕະນາສາທາຣະນະ,object,chae ta na sa tha ra na,n
ເຈຕະນາສາທາຣະນະ,intention,chae ta na sa tha ra na,n
ເຈຕະນາຊ່ອນເຣ້ນ,hidden or secret intent,chae ta na son raen,n
ເຈຕະນາດີ,good will,chae ta na dee,n
ເຈຕະນາຣົມ,intent,chae ta na lom,n
ເຈຕະນາຣົມ,volition,chae ta na lom,n
ເຈຕະນາຮ້າຍ,bad intentions,chae ta na hai,n
ເຈຕະພູດ,the ego,chae ta phut,n
ເຈຕະພູດ,the soul,chae ta phut,n
ເຈໂຕວິມຸຕິ,attainment of wisdom by power of thought,chae to vi mou ti,n
ເຈຣະຈາ,confer,chae ra cha,v
ເຈຣະຈາ,discuss,chae ra cha,v
ເຈຣະຈາ,negotiation,chae ra cha,v
ເຈຣະຈາສະຫງົບເສິກ,case-fire negotiation,chae ra cha sa ngop serk,n
ເຈຣະຈາຍືດເຍື້ອ,protracted negotiation,chae ra cha nyert nyeu,n
ເຈຣະຈາເບື້ອງຕົ້ນ,preliminary discussions,chae racha berng ton,n
ເຈຣະຈາຫາລື,negotiation,chae ra cha ha ler,n
ເຈ້,older sister,chae,n
ແຈະ,taste,chae,v
ແຈ,vegetarian diet for Chinese certain holidays; corner,chaey,n
ແຈກັນ,long-stemmed vase for flowers or increase,chae kan,n
ແຈຫວາ,obtuse (angle),chae va,adj
ແຈ້,bantam rooster,chae,n
ໂຈະ,stop,cho,v
ໂຈະ,await,cho,v
ໂຈ,swell,cho,v
ໂຈ,inflate,cho,v
ໂຈທະນາ,protest,cho tha na,n
ໂຈທະນາ,objection,cho tha na,n
ໂຈລະກັມ,theft,cho la kam,n
ໂຈລະກັມ,burglary,cho la kam,n
ໂຈລະກັມ,banditry,cho la kam,n
ໂຈລະ,a piece of cloth,cho la,n
ໂຈ່,be stuck in,cho,v
ໂຈ້,cook rice in water until it becomes glutinous,cho,v
ເຈາະ,specific,chor,v
ເຈາະ,specifically,chor,v
ເຈາະ,pierce,chor,v
ເຈາະຈົງ,specific,chor chong,v
ເຈາະຈົງເອົາ,designate,chor chong ao,v
ເຈາະກິນ,infest,chor kin,v
ເຈາະກິນ,swarm,chor kin,v
ເຈາະເບາະ,gracious,chor bor,adj
ຈໍ,screen,chor,n
ຈໍແຈ,imminent,chor chae,adj
ຈໍລະ,circulate,chor la,v
ຈໍລະ,move about,chor la,v
ຈໍລະກະລູ່,roam,chor la ka lu,v
ຈໍລະກະລູ່,wander,chor la ka lu,v
ຈໍລະຈັດ,vagabond,chor la chat,adj
ຈໍລະຈັດ,homeless,chor la chat,adj
ຈໍລະຈັນ,roam,chor la chan,v
ຈໍລະຈັນ,wander,chor la chan,v
ຈໍລະຈອນ,traffic,chor la chon,n
ຈໍລະບາດ,go on foot,chor la bat,v
ຈໍລະບົນ,roam,chor la bon,v
ຈໍລະບົນ,wander,chor la bon,v
ຈໍລະເຂ້,crocodile,chor la khae,n
ຈໍລະລາຍ,liquefy,chor la lay,v
ຈໍ່,sprout,chor,v
ຈໍ່ດອກ,flower,chor dok,v
ຈໍ່ລໍ່,blocking the passage,chor lor,adj
ຈໍ້,near,chor,adj
ຈໍ້,close up,chor,adj
ຈໍ້ເຂົ້າ,approach an object of attack,chor khao,v
ຈໍ້ມວຍ,on guard in boxing,chor mouy,v
ຈໍ້ປາກ,put close to the mouth,chor pak,v
ຈໍ້ໄຟ,put close to the fire,chor fai,v
ຈໍ້ຫວໍ້,a type of conical fishnet,chor vor,n
ເຈິ,meet,cher,v
ເຈິ,encounter,cher,v
ເຈິ,come upon,cher,v
ເຈິ,find,cher,v
ເຈີ,encounter,cher,v
ເຈີ,meet,cher,v
ເຈີກັນ,encounter,cher kan,v
ເຈຍ,carry on one's back,chia,v
ເຈັຍ,type of toothbrush made of frayed ends of bamboo or wood,chia,n
ເຈັຍແຂ້ວ,bush the teeth,chia khaev,v
ເຈັຍຟັນ,brush the teeth,chia fan,v
ເຈັຍລະຈາກ,leave for a long time,chia la chak,v
ເຈັຍລະໄນ,cut gems,chia la nai,v
ເຈັຍລະບາດ,tied sash,chia la bat,n
ເຈັ່ຍ,carry on the back,chia,v
ເຈັ່ຍລູກ,carry a child on the back,chia luk,v
ເຈັ່ຍຂວັນ,cajole,chia khun,v
ເຈັ່ຍຂວັນ,pray,chia khun,v
ເຈ້ຍ,paper,chia,n
ເຈ້ຍໄຂ່,egg membrane,chia kai,n
ເຈ້ຍແຂງ,cardboard,chia khaeng,n
ເຈ້ຍຂຽນຈົດຫມາຍ,stationary,chia khien chot mai,n
ເຈ້ຍຂຽນຫນັງສື,stationary,chia khien nang seu,n
ເຈ້ຍສາ,native paper made from the leaves and bark of certain trees,chia sa,n
ເຈ້ຍເຊັດມື,paper napkin,chia zat meu,n
ເຈ້ຍປີ່,flute reed made of onionskin,chia phe,n
ເຈ້ຍໄມ້ໄຜ່,bamboo membrane,chia mai fai,n
ເຈ້ຍຫນັງ,parchment,chia nang,n
ເຈ້ຍໜັງ,parchment,chia nang,n
ເຈ້ຍຫູ,eardrum,chia hu,n
ເຈືອ,mix,cheu,v
ເຈືອ,be mixed,cheu,v
ເຈືອກັນ,mix together,cheu kan,v
ເຈືອຈັນ,mix perfumes,cheu chan,v
ເຈືອດ້ວຍ,mix with,cheu doy,v
ເຈືອເຕີມ,add to,cheu term,v
ເຈືອປົນ,mix,cheu bpon,v
ເຈືອຈານ,generous,cheu chan,adj
ເຈີ່ຍ,speak,chery,v
ເຈີ່ຍ,say,chery,v
ເຈີຍ,cut at an angle,chery,v
ເຈື້ອຍ,a long,cheuay,n
ເຈື້ອຍ,sweet sound,cheuay,n
ຈວຍ,narrowing,chuang,adj
ຈວຍ,coming to a point,chuang,adj
ຈ້ວຍ,sharp,chuang,adj
ຈ້ວຍ,cutting,chuang,adj
ຈ້ວຍກ້ວຍ,sitting impassively,chuang kuang,adj
ຈ້ວຍກ້ວຍ,tranquil and at ease,chuang kuang,adj
ຈົ້ວະ,sound of cutting,chua,n
ຈົວ,Buddhist novice,chua,n
ຈົວນ້ອຍ,young Buddhist novice,chua noy,n
ຈົ່ວ,face of a gable,chua,n
ຈັກ,machine,chak,n
ຈັກ,engine,chak,n
ຈັກກະພັດນິຍົມ,imperialism,cha ka phat ni nyom,n
ຈັກຊິໃຊ້ວິທີໃດ,don’t know what method to use,chak si say vi thi dai,v
ຈັກຕາຍ,machine is broken down,chak tai,n
ຈັກຈອກ,cut bamboo strips,chak chok,v
ຈັກຖັກ,knitting machine,chak thak,n
ຈັກໄປທີບໃດ,he (she),chak pai thip dai,pron
ຈັກພິມດີດ,writing machine,chak phim dit,n
ຈັກຫຍິບເຄື່ອງ,sewing machine,chak nyip kherng,n
ຈັກວ່າ,I am not sure,chak va,v
ຈັກສານ,basket weaving,chak san,n
ຈັກຕອກ,cut bamboo into strips,chak tok,v
ຈັກຫວາຍ,split rattan,chak huay,v
ຈັກຊັກເຄື່ອງ,washing machine,chak sak kheuang,n
ຈັກລ້າງຖ້ວຍ,dishwasher,chak lang thuay,n
ຈັກເລື່ອຍ,machine saw,chak lery,n
ຈັກກະ,wheel,chak ka,n
ຈັກກະ,rim of a wheel,chak ka,n
ຈັກກະປານີ,Vishnu,chak ka bpa ni,n
ຈັກກະປານີ,the discus holder,chak ka bpa ni,n
ຈັກກະພານ,circle,chak ka phan,n
ຈັກກະພານ,circumference,chak ka phan,n
ຈັກກະຣາສີ,planetary orbit,chak ka ra si,n
ຈັກກະວາດ,circle,chak ka vat,n
ຈັກກະວາດ,circumference,chak ka vat,n
ຈັກກະຈີ້,tickle,chak ka chee,v
ຈັກກະຈີ້,feel ticklish,chak ka chee,v
ຈັກກະພາກ,wild duck,chak ka phak,n
ຈັກກະພັດ,empire,chak ka phat,n
ຈັກກະພັດ,emperor,chak ka phat,n
ຈັກກະສົມບັດ,imperial wealth,chak som bat,n
ຈັກກະພົບ,commonwealth,chak ka phop,n
ຈັກກະວັດ,empire,chak ka vat,n
ຈັກກະວັດ,emperor,chak ka vat,n
ຈັກກະວານ,group,chak ka van,n
ຈັກກະວານ,multitude,chak ka van,n
ຈັກກະວານ,assembly,chak ka van,n
ຈັກກີ,king,chak ki,n
ຈັກກີ,monarch,chak ki,n
ຈັກຂຸ,eye,chak khu,n
ຈັກຂຸໂຄຈອນ,visual image,chak khu kho chon,n
ຈັກຂຸສັມພັດ,vision,chak khu som phat,n
ຈັກຂຸສັມພັດ,seeing,chak khu som phat,n
ຈັກຂຸທະວານ,eye-socket,chak khu tha van,n
ຈັກຂຸປະສາດ,optic nerve,chak khu pha sat,n
ຈັກຂຸວິໄສ,strenght of vision,chak khu vi sai,n
ຈັກຂຸວິນຍານ,sight,chak khu vin nyan,n
ຈັກຂຸວິນຍານ,vision,chak khu vin nyan,n
ຈັກຄາວ,few moments an instant,chak khao,n
ຈັກຈັນ,tre,chak chan,n
ຈັກຈັ່ນ,cicada,chak chan,n
ຈັກສຸ,eye,chak su,n
ຈັກສຸພິການ,defects of the eye,chak su phi kan,n
ຈັກສຸແພດ,oculist,chak su phaet,n
ຈັກຊິ,whether,chak si,conj
ຈັກນ້ອຍ,a little bit,chak su noy,n
ຈັກມີມາ,happen,chak mi ma,v
ຈັກມີມາ,will have,chak mi ma,v
ຈັກທີບຈັກແດນ,not to know anything (negative sentence),chak thip chak daen,v
ຈັງ,be curved,chang,v
ຈັງ,be bent,chang,v
ຈັງຫວະ,rhythm,chang va,n
ຈັງໄຮ,unmannerly,chang hai,adj
ຈັງຫາ,ask about,chang ha,v
ຈັງຫາ,speak continuously of something,chang ha,v
ຈັງກາ,tripod,chang ka,n
ຈັງກ້າ,be in a position ready for action,chang ka,v
ຈັງກອນ,red lotus,chang kon,n
ຈັງກອບ,municipal tax,chang kop,n
ຈັງງັງ,stupefied,chang ngang,adj
ຈັງງັງ,dumbfounded,chang ngang,adj
ຈັງມັງ,strong,chang mang,adj
ຈັງມັງ,durable,chang mang,adj
ຈັງຫັນ,meal,chang han,n
ຈັງຫັນ,food (ordinarily for basket),chang han,n
ຈັງຫວະຍິງ,tempo of firing,chang va nying,n
ຈັງຫວັດ,territory,chang vat,n
ຈັ່ງ,then,chang,conj
ຈັ່ງ,so,chang,conj
ຈັ່ງ,since,chang,conj
ຈັ່ງແມ່ນລັກໄລ່,very noisy,chang men lak lai,n
ຈັ່ງແມ່ນຫນ່າຍ,It is really repugnant,chang maen nay,n
ຈັ່ງແມ່ນໜ່າຍ,It is really repugnant,chang maen nay,n
ຈັ່ງວ່າ,That’s why I say it,chang va,n
ຈັ່ງຊີ,like this,chang se,n
ຈັ່ງຊັ້ນ,like that,chang sun,n
ຈັ່ງໃດ,How?,chang dai,adv
ຈັ່ງບຸນ,fortunately,chang boun,adv
ຈັ້ງ,prop up,chang,v
ຈັ້ງທ່າ,"be ready (to run, fight, etc)",chang tha,v
ຈັດ,arrange,chat,v
ຈັດ,tidy up,chat,v
ຈັດການ,arrange,chat kan,v
ຈັດວຽກ,manage to do,chat via,v
ຈັດແຈ່ງ,prepare,chat chaeng,v
ຈັດແຖວ,line up,chat thaev,v
ຈັດລາຍການ,program production,chat lay kan,v
ຈັດລາຍການ,to launch a program,chat lay kan,v
ຈັດເວນເປັນຜຽນ,establish a turn a round,chat vaen phen fien,v
ຈັດເວນເປັນຜຽນ,a shift,chat vaen phen fien,v
ຈັດໃຫ້,serve,chat hai,v
ຈັດກະເວນຣົບ,prepare an offensive,chat ka boun lop,v
ຈັດກຽມ,prepare,chat kiem,v
ຈັດໂຕະ,set the table,chat to,v
ຈັດຕັ້ງຂຶ້ນ,set up,chat tang kheun,v
ຈັດບ່ອນຢູ່ອາໄສໃຫ້,arrange a lodging or residence for,chat bon nyu a sai hai,v
ຈັດລະບຽບ,put in order,chat la bieb,v
ຈັດໄວ້,prepare,chat vai,v
ຈັດໄວ້,have ready,chat vai,v
ຈັດໄວ້ເປັນ,arranged for,chat vai phen,adj
ຈັດໄວ້ເປັນ,reserved,chat vai phen,adj
ຈັດຫາ,arrange,chat ha,v
ຈັດຫາ,get,chat ha,v
ຈັດໃຫ້ລຽບລ້ອຍ,arrange,chat hai leib loy,v
ຈັດໃຫ້ລຽບລ້ອຍ,put in order,chat hai leib loy,v
ຈັດອາຫານ,prepare a meal,chat a han,v
ຈັດກິດຈະການ,manage or direct a business,chat kin cha kan,v
ຈັດການງານນອກສັ່ງ,carry out without orders,chat kan ngan nok sang,v
ຈັດການສັນເສິນ,manage property,chat kan sop sin,v
ຈັດການໄດ້,feasible,chat kan dai,adj
ຈັດການບ້ານເຮືອນ,mange a house-hold,chat kan ban heun,v
ຈັດງານ,organize,chat ngan,v
ຈັດງານ,prepare a fete,chat ngan,v
ຈັດທຸຣະ,carry on one’s buiness,chat thu ra,v
ຈັດລະບຽບຊີວິດ,organize one’s life,chat la bieb si vit,v
ຈັດການຕາມກົດຫມາຍ,act according to the law,chat kan tam kot mai,v
ຈັດການຕາມກົດໝາຍ,act according to the law,chat kan tam kot mai,v
ຈັດການຕາມສົມຄວນ,take appropriate measures,chat kan tam som khuon,v
ຈັດການແທນ,act as a representative or agent,chat kan taen,v
ຈັດເຂົ້າໃນ,place in,chat khow nai,v
ຈັດຈ້ານ,clearly,chat chan,adv
ຈັດຈ້ານ,fluently,chat chan,adv
ຈັດເຈນ,experienced,chat chaen,adj
ຈັດເຈນ,well-versed,chat chaen,adj
ຈັດສັນ,distribute,chat sun,v
ຈັດສັນ,allocate,chat sun,v
ຈັດສັນ,allot,chat sun,v
ຈັດສັນທີ່ດິນ,land redistribution,chat sun thi din,n
ຈັດເຊົາວະເລກ,take down in shorthand,chat sao va laek,v
ຈັດຕະວາ,four,chat ta va,n
ຈັດຕະວາທັນທີ,poety with stanzas of four lines,chat ta va than thi,n
ຈັດຕະວາທັນທີສົກ,in the Chula calendar,chat ta va than thi sok,n
ຈັດຕຸ,four,chat tu,n
ຈັດຕຸຣັດ,square,chat tu rat,n
ຈັດຕັ້ງ,established,chat tang,v
ຈັດຕັ້ງ,found,chat tang,v
ຈັດຕັ້ງ,regulate,chat tang,v
ຈັດຕັ້ງ,set up,chat tang,v
ຈັດທະຫານ,raise a military unit,chat tha han,v
ຈັດປະກັນ,make a guarantee,chat pa kan,v
ຈັດເປັນຫມູ່,split up into groups,chat pen mu,v
ຈັດພິມ,print; publish,chat phim,v
ຈັດມາໃຫ້,provide for,chat ma hai,v
ຈັດວາງ,place,chat vang,v
ຈັດຫາງານໃຫ້,place someone,chat ha ngan hai,v
ຈັດໃຫ້ມີຂຶ້ນ,establish,chat hai mi kieun,v
ຈັດໃຫ້ມີຂຶ້ນ,innovate,chat hai mi kieun,v
ຈັດໃຫມ່,renovate,chat mai,v
ຈັດໃຫມ່,revise,chat mai,v
ຈັດໃຫມ່,reorganize,chat mai,v
ຈັດໃໝ່,renovate,chat mai,v
ຈັດໃໝ່,revise,chat mai,v
ຈັດໃໝ່,reorganize,chat mai,v
ຈັ້ດ,a short sound,chat,n
ຈັນ,the moon,chan,n
ຈັນທະ,the moon,chan tha,n
ຈັນທາ,the moon,chan tha,n
ຈັນໂທ,the moon,chan tho,n
ຈັນທອນ,the moon,chan thone,n
ຈັນທະກະລາ,a girl beautiful as the moon,chan tha ka la,n
ຈັນທະຄະຕິ,lunar orbit,chan tha ka thi,n
ຈັນທະຄາດ,lunar eclise,chan tha khat,n
ຈັນລະຄາດ,Sanskrit,chan la khat,n
ຈັນທະພິມ,the moon,chan tha phim,n
ຈັນທະຣະໂຄສິກາ,moonlight,chan tha ra kho si ka,n
ຈັນທະຣະໂຍຄະ,astrological term,chan tha ra nyo kha,n
ຈັນທະຣະພູຕິ,silver (colour of the moon),chan tha ra phu thi,n
ຈັນທະຣະພາດ,saber (shining like the moon),chan tha ra phat,n
ຈັນທະຣະພິມ,saber,chan tha ra phim,n
ຈັນທະຣະວົງ,dynasty of the moon which followed that of the sun,chan tha ra vong,n
ຈັນທານ,ferocious vile,chan than,adj
ຈັນທານ,ignoble,chan than,adj
ຈັນໄຮ,wicked,chan hai,adj
ຈັນໄຮ,ignoble,chan hai,adj
ຈັນຈາ,say,chan cha,v
ຈັນຈາ,speak,chan cha,v
ຈັນໂຈດ,spread a rumor,chan chot,v
ຈັນຍາ,morality,chan nya,n
ຈັນຍາ,goodbye,chan nya,n
ຈັນທະຣະຄຸບ,a power king of the city of Patalibut,chan tha ra khop,n
ຈັນທະຣະຣັດຕະນະ,pearl,chan tha ra rat ta na,n
ຈັນທະຣຸບເປຣາຄາ,lunar eclipse,chan tha rop pha la kha,n
ຈັນທະວາຕາ,a destructive wind,chan tha va ta,n
ຈັນທັນ,diagonal end roof beam,chan than,n
ຈັນເລົາ,river,chan lao,n
ຈັນເລົາ,rivulet,chan lao,n
ຈັນເລົາ,small water-course,chan lao,n
ຈັນໂລງ,support,chan long,v
ຈັນໂລງ,conduct,chan long,v
ຈັນໂລງ,sustain,chan long,v
ຈັນໂລງໃຈ,inspire,chan long chay,v
ຈັນໂລງໃຈ,encourage,chan long chay,v
ຈັນອັບ,Chinese confectionery made from mixed fruit and nuts,chan ap,n
ຈັນເພັງ,full moon,chan pheng,n
ຈັ່ນ,fishtrap,chan,n
ຈັ່ນເສືອ,tiger trap,chan seu,n
ຈັ້ນ,short,chan,adj
ຈັ້ນຕ່ຽວຜ້າ,pull up the end of a sampot,chan tiaw fa,v
ຈັ້ນລົງ,short,chan long,adj
ຈັ້ນລົງ,shortened,chan long,adj
ຈານ,plate,chan,n
ຈານ,dish,chan,n
ຈານ,disc,chan,n
ຈານກິນເຂົ້າ,plate,chan kin khao,n
ຈານກິນເຂົ້າ,dish,chan kin khao,n
ຈານສຽງ,record (music disc),chan sieng,n
ຈານເຊີງ,a footed dish,chan serng,n
ຈານບິນ,flying saucer,chan bin,n
ຈານຮອງ,saucer,chan hong,n
ຈານຄູ,title of the third class of bonzes who have served longer as bonzes and learned more,chan ku,n
ຈານ້າ,title of the second class of bonzes,chan sa,n
ຈານເຄືອ,type of vine with red flowers,chan kheua,n
ຈານເຈືອ,add,chan cheua,v
ຈານເຈືອ,mix,chan cheua,v
ຈ່ານ,the metal,chan,n
ຈ່ານ,lead,chan,n
ຈ້ານ,very,chan,adv
ຈ້ານ,much,chan,adv
ຈັບ,take,chap,v
ຈັບ,to touch,chap,v
ຈັບກຸມ,arrest,chap koum,v
ຈັບຂະໂມຍ,arrest a robber,chap kha moy,v
ຈັບໃຈ,touch,chap chay,v
ຈັບໃຈ,satisfy,chap chay,v
ຈັບໃຈ,interesting,chap chay,adj
ຈັບສະຫລາກ,draw lots,chap sa lak,v
ຈັບສະຫຼາກ,draw lots,chap sa lak,v
ຈັບຕາຍ,capture dead,chap tai,v
ຈັບພິລຸດ,catch hold of act,chap phi lut,v
ຈັບມື,shake hands,chap meu,v
ຈັບເວລາ,lime,chap vae la,v
ຈັບໄວ້,seize and hold,chap vai,v
ຈັບເອົາ,seize and hold,chap ao,v
ຈັບໄຂ້,catch a fever,chap khai,v
ຈັບຈອງ,preempt,chap chong,v
ຈັບຈອງ,reserve land,chap chong,v
ຈັບໄດ້,seized,chap dai,adj
ຈັບໄດ້,taken,chap dai,adj
ຈັບໄດ້,gotten,chap dai,adj
ຈັບໄດ້ຄາຫນັງຄາເຂົາ,catch in the act,chap dai kha nang kha khao,v
ຈັບໄດ້ຄາໜັງຄາເຂົາ,catch in the act,chap dai kha nang kha khao,v
ຈັບຕາ,catch the eyes,chap ta,v
ຈັບປາ,catch fish by hand,chap pha,v
ຈັບປາສອງມື,try to catch two things at the same time (pejorative),chap pha song meu,v
ຈັບເປັນ,capture alive,chap phen,v
ຈັບລົດໄຟ,catch a train,chap lot fai,v
ຈັບຫວັດ,catch cold,chap vat,v
ຈັບງ່າໄມ້,perch on a branch,chap nga mai,v
ຈັບຄອນ,perch on,chap khon,v
ຈັບເຈົ່າ,perch immobile,chap chao,v
ຈັບແຂນ,hold arm in arm,chap khaen,v
ຈັບເຄົ້າ,uncover,chap khao,v
ຈັບເຄົ້າເງື່ອນ,uncover,chap khao ngeuan,v
ຈັບເຄົ້າ,discover,chap khao,v
ຈັບເຄົ້າເງື່ອນ,discover,chap khao ngeuan,v
ຈັບເຄົ້າ,detect,chap khao,v
ຈັບເຄົ້າເງື່ອນ,detect,chap khao ngeuan,v
ຈັບຈິດຈັບໃຈ,fascinating,chap chit chap chay,adj
ຈັບຈິດຈັບໃຈ,captivating,chap chit chap chay,adj
ຈັບຈຸດ,catch on,chap chot,v
ຈັບຈຸດ,apprehend,chap chot,v
ຈັບຈຸດ,get the meaning of,chap chot,v
ຈັບສ່າຍ,type of Chinese vegetable soup,chap say,n
ຈັບຊີບພະຈອນ,take or count the pulse,chap sip pha chon,v
ຈັບຍາມ,foretell prognosticate,chap nyam,v
ຈັບເດີມ,from the beginning; ever since,chap derm,adv
ຈັບເບິ່ງ,keep an eye on,chap berng,v
ຈັບເບິ່ງ,follow by eye,chap berng,v
ຈັບຕ້ອງ,touch,chap tong,v
ຈັບຕົ້ນຊົນປາຍ,put the cart before the horse,chap ton son pay,idiom
ຈັບປີ້ງ,gold or silver,chap ping,n
ຈັບຜິດ,carp,chap fit,v
ຈັບຜິດ,find fault with,chap fit,v
ຈັບຜິດກັບ,find fault with,chap fit kap,v
ຈັບຜິດຈັບພາດ,grope blindly,chap fit chap phat,v
ຈັບແພະຊົນແກະ,put the cart before horse,chap phae son kae,idiom
ຈັບມືຖືເຂນ,kiss the hand,chap meu theu khaen,v
ຈັບມືຖືເຂນ,be very familiar with,chap meu theu khaen,v
ຈັບໄມ້ສັ້ນໄມ້ຍາວ,draw straws,chap mai san mai nyao,v
ຈັບໄມ້ສັ້ນໄມ້ຍາວ,long or short,chap mai san mai nyao,v
ຈັບລອນ,curl or tint the hair,chap lon,v
ຈັບຈ່າຍ,spend,chap chay,v
ຈັບຈ່າຍ,pay,chap chay,v
ຈັບຈ່າຍ,buy,chap chay,v
ຈັບຫືດ,have asthma,chap heut,v
ຈັບເຫງົາ,become sad,chap ngao,v
ຈັບຫນາວ,become ill with pneumonia,chap nao,v
ຈັບໜາວ,or with a cold,chap nao,v
ຈັບຫຼັກ,hold on to the top of a pole,chap lak,v
ຈັບຫລັກ,hold on to the top of a pole,chap lak,v
ຈັບໆ,sound of food being munched,chap chap,n
ຈາບ,beat with both hands,chap,v
ຈາບກອງ,beat a drum,chap kong,v
ຈາບກອງ,using both hands,chap kong,v
ຈາບຈ້ວງ,offend or injure by speech,chap chouang,v
ຈິບ,type of fishtrap,chip,n
ຈິບ,spanning a stream,chip,n
ຈິຍເບີ່ງ,smaple for taste,chip berng,v
ຈິບຫາຍ,loss,chip hay,n
ຈິບຫາຍ,ruin,chip hay,n
ຈີບ,pile on top of,chip,v
ຈີບປາກ,purse the lips,chip phak,v
ຈີບຜ້າ,gather or pleat clothing,chip fa,v
ຈີບພູ,roll betel leaves,chip phu,v
ຈີບຫມາກ,fold and roll betel,chip mak,v
ຈີບໝາກ,fold and roll betel,chip mak,v
ຈີບຮຳ,roll up,chip hom,v
ຈີບກັນ,flirt,chip kan,v
ຈີບກັນ,court (slang),chip kan,v
ຈີບ,jeep,chip,n
ຈີບ,the vehicle,chip,n
ຈິ່ມ,near,chim,prep
ຈິ່ມ,next to,chim,prep
ຈີມ,pry out,chim,v
ຈີມ,lift out,chim,v
ຈີ້ມແຂ້ວ,pick the teeth,chim khaow,v
ຈີ້ມແຈ່ວ,dip into pepper sauce,chim chaev,v
ຈີ້ມນ້ຳປາ,dip into fish sauce,chim nam pha,v
ຈີ້ມນ້ຳພິກ,dip into pepper sauce,chim nam pik,v
ຈີ້ມລົງ,dip in,chim long,v
ຈີ້ມກ້ອງ,be tributary to a great power,chim kong,v
ຈີ້ມລິ້ມ,graceful,chim lim,adj
ຈີ້ມລິ້ມ,attractive,chim lim,adj
ຈີ້ມລິ້ມ,graceful,chim lim,adj
ຈີ້ມລິ້ມ,attractive,chim lim,adj
ຈີ້ມລິ້ມ,graceful,chim lim,adj
ຈີ້ມລິ້ມ,attractive,chim lim,adj
ຈີ້ມລິ້ມ,smart,chim lim,adj
ຈາກ,from,chak,prep
ຈາກ,to leave,chak,prep
ຈາກກັນ,separate from each other,chak,v
ຈາກນຊີເຖິງນັ້ນ,from here to there,chak ni therng nan,v
ຈາກໄປ,go away,chak pai,v
ຈາກບ້ານ,leave the house,chak ban,v
ຈາກໂລກໄປບໍ່ມີວັນກັບ,die (idiom),chak lok pai bor mi van kap,v
ຈາງ,tasteless,chang,adj
ຈາງ,insipid,chang,adj
ຈາງຫາຍ,fade away,chang hai,v
ຈາງຫາຍ,fade out,chang hai,v
ຈາງຈີດ,type of medicinal plant resembling ginger,chang chert,n
ຈາງປ່າງ,wide open,chang phang,adj
ຈາງວາງ,retired civil servant,chang vang,n
ຈ່າງ,spread apart,chang,v
ຈ້າງ,hire,chang,v
ຈ້າງເປັນມື,hire by the day (slang),chang phan meu,v
ຈ້າງແຮງງານ,hire labor,chang haeng ngan,v
ຈ້າງເຮັດສິ່ງຂອງ,engage someone to make something,chang haed sing khong,v
ຈ້າງເຮັດວຽກ,hire by the job,chang haed viek,v
ຈ້າງຄ່າຈ້າງ,wage,chang kha chang,n
ຈ້າງນາຍຈ້າງ,employer,chang nay chang,n
ຈ້າງນາຍຈ້າງ,boss,chang nay chang,n
ຈ້າງລູກຈ້າງ,employee,chang louk chang,n
ຈ້າງລູກຈ້າງ,hired man,chang louk chang,n
ຈ້າງເຮືອຈ້າງ,ferryboat,chang heua chang,n
ຈ້າງເຮືອຈ້າງ,boat for rent,chang heua chang,n
ເຈືອງ,chief,cheung,n
ເຈືອງ,king,cheung,n
ເຈືອງ,sovereign,cheung,n
ເຈື່ອງ,chief,cheung,n
ເຈື່ອງ,king,cheung,n
ເຈື່ອງ,sovereign,cheung,n
ຈວງ,pretty,chuang,adj
ຈວງ,soft,chuang,adj
ຈວງຈັນ,a perfume compounded,chuang chan,n
ຈວງຫອມ,a type of tree similar to sandal-wood,chuang hom,n
ຈ້ວງ,dip out water quickly from a contianer,chuang,v
ຈ່າຍ,spend,chay,v
ຈ່າຍເກີນ,overpay,chay kern,v
ຈ່າຍຄ່າອາຫານ,pay for food,chay kha a han,v
ຈ່າຍເງິນ,pay money,chay ngern,v
ຈ່າຍເງິນເດືອນ,pay salaries,chay ngern deuan,v
ຈ່າຍແລ້ວ,paid,chay leow,adj
ຈ່າຍແລ້ວ,already paid,chay leow,adj
ຈ່າຍກັບເຂົ້າ,buy food,chay khop khao,v
ຈ່າຍຂອງ,distribute,chay khon,v
ຈ່າຍຄ່າແຮງ,pay for work done,chay kha haeng,v
ຈ່າຍແຈກ,distribute,chay chaek,v
ຈ່າຍແຈກ,donate,chay chaek,v
ຈ່າຍສິນຄ້າ,authorize the consignment of goods from a port warehouse,chay sin kha,v
