,Japanese,Lao,phonetic alphabet,English
,可愛い,ເປັນຕາຮັກ ,pen taa hak, lovely
,可愛いkawaii,ຫນ້າຮັກ ,hnaa2 hak, pretty
,可哀そう,ສົງສານ ,song saan, to pity
,可哀そう,ອິດູຕົນ ,i duu ton, to pity
,可愛らしい,ເປັນຕາຮັກ ,pen taa hak, lovable
,乾かすkawakasu,ຕາກ ,taak, exposed to
,乾かす,ເຮັດໃຫ້ແຫ້ງ ,het hhay2 hhaeng2, dry
,乾く,ແຫ້ງ ,hhaeng2, dry
,代わり,ການແທນທີ່ ,kaan thaen thii1, replacement
,変わり者,ຄົນນິໃສແປກ ,khon ni say paek, freak
,代わるkawaru,ແທນທີ່ ,thaen thii1, replace 
,変わる,ປ່ຽນ ,pian1, change
,変わるkawaru,ປ່ຽນແປງ ,pian1 paeng, change
,（～）館,ອາຄານ ,aa khaan, ~ building
,癌,ມະເຮັງ ,ma heng, cancer
,雁,ຫ່ານ ,hhaan1, goose
,肝炎kan-en,ຕັບອັກເສບ ,tap ak seep, hepatitis
,眼科ganka,ຫມໍຕາ ,hmoh taa, oculist
,考え,ຄວາມຄິດ ,khwaam khit, idea
,考えるkangaeru,ຄິດ ,khit, think
,感覚,ຄວາມຮູ້ສຶກ ,khwaam huu2 suek, sense
,乾季kanki,ຍາມແລງ ,nyaam laeng2, dry  season 
,環境,ສິ່ງແວດລ້ອມ ,sing1 waet lohm2, environment
,環境破壊,ທຳລາຍສິ່ງແວດລ້ອມ ,tham laay sing1 waet lohm2, destroy the environment
,環境問題,ບັນຫາສິ່ງແວດລ້ອມ ,ban hhaa sing1 waet lohm2, environmental problem
,関係,ກ່ຽວຂ້ອງ ,kiaw1 hkohng2, concerning
,関係,ພົວພັນກັບ ,phua phan kap, relationship
,歓迎,ຕ້ອນຮັບ ,tohn2 hap, welcome
,頑固,ຂີ້ດື້ ,hkii2 deu2, obstinacy
,頑固,ບໍ່ຟັງຄວາມ ,boh1 fang khwaam, not to obey
,観光,ທ່ອງທ່ຽວ ,thohng1 thiaw1, travel
,観光,ໄປທ່ຽວ ,pai thiaw1, sight seeing
,観光客,ນັກທ່ອງທ່ຽວ ,nak thohng1 thiaw1, tourist
,観光地,ສະຖານທີ່ທ່ອງທ່ຽວ ,sa htaan thii1 thohng1 thiaw1, tourist places
,韓国kankoku,ເກົາຫລີໃຕ້ ,kao hlii tay2, South Korea  
,韓国人,ຄົນເກົາຫລີ ,khon kao hlii, Korean
,看護婦,ນາງພະຍາບານ ,naang pha nyaa baan, nurse
,感じ,ຄວາມຮູ້ສຶກ ,khwaam huu2 seuk, feeling
,漢字,ການຈິ ,kaan ji, kanji
,感謝,ຂອບໃຈ ,hkohp jay, thank you
,感謝,ປະທັບໃຈ ,pa thap jay, impress
,患者kanja,ຄົນເຈັບ ,khon jep, patient
,勘定,ເກັບເງີນ ,kep ngern, check bill
,勘定,ຄຳນວນ ,kham nuan, calculate
,勘定,ເຊັກບິນ ,xek bin, check bill
,勘定,ໄລ່ເງີນ ,lai1 ngern, check bill 
,感情kanjoo,ອາລົມ ,aa lom, feeling
,感じるkanjiru,ຮູ້ສຶກ ,huu2 suek, feel
,関心,ສົນໃຈ ,son jay, interested in
,感心,ຊົມເຊີຍ ,xom xery, congratulate
,関するkan,ກ່ຽວກັບ ,kiaw1 kap, about
,間接的,ທາງອ້ອມ ,thaang ohm2, indirect
,感染,ຕິດພະຍາດ ,tit pha nyaat, infect
,感染,ຕິດໂລກ ,tit look, infect
,完全,ບໍ່ມີບ່ອນຜິດ ,boh1 mii bohn1 hpit, perfect 
,乾燥したkansoo,ແລ້ງ ,laeng2, dry
,乾燥したkansoo,ແຫ້ງ ,hhaeng2, dry
,感想,ຄວາມປະທັບໃຈ ,khwaam pa thap jay, impression
,肝臓,ຕັບ ,tap, liver
,寛大,ໃຈກວ້າງ ,jay kwaang2, generous
,簡単,ງ່າຍ ,ngaay1, easy
,缶詰kanzume,ກະປອງ ,ka pohng, can
,感動,ປະທັບໃຈ ,pa thap jay, get impressed
,感動的,ປະທັບໃຈ ,pa thap jay, deep impression
,監督,ຫົວຫນ້າທິມ ,hhua hnaa2 thim, team head 
,乾杯,ຕຳຈອກ ,tam johk, cheer
,頑張る,ພະຍາຍາມ ,pha nyaa nyaam, try 
,がんばれ,ພະຍາຍາມເດີ້ ,pha nyaa nyaam der2, hooray
,看板,ປ້າຍ ,paay2, sign
,缶ビール,ເບຍກະປອງ ,beey ka pohng, caned beer
,漢方薬kampoo,ຢາຈີນ ,yaa jiin, Chinese drug
,カンボジア,ກຳປູເຈຍ ,kam puu jeey, Cambodia
,慣用句kan-yoo,ສຳນວນ ,sam nuan, idiom
,管理,ການຈັດການ ,kaan jat kaan, manage
,管理,ບໍລິຫານ ,boh li hhaan, manage
,気,ໄຄແດ່ ,khai dae1, recover
,気が小さい,ໃຈນ້ອຍ ,jay nohy2, narrow-minded
,気が長い,ໃຈເຢັນ ,jay yen, imperturbable
,気が大きい,ໃຈໃຫຍ່ ,jay hyay1, magnanimous 
,気が短い,ໃຈຮ້ອນ ,jay hohn2, hot tempered
,気,ສະຫລົບ ,sa hlop, coma
,気にするki,ສົນໃຈ ,son jay, interested
,気に入る,ຕິດໃຈ ,tit jay, be fascinated
,気が合う,ຖືກໃຈກັນ ,hteuk jay kan, get along with
,気,ເປັນບ້າ ,pen baa2, crazy
,気,ເປັນລົມ ,pen lom, faint
,気に入る,ເປັນຫ່ວງ ,pen hhuang1, worry
,気に入るki,ມັກໃຈ ,mak jay, be fascinated
,気,ລະວັງ ,la wang, be careful
,気が重い,ຫນັກໃຈ ,hnak jay, difficult to decide
,気,ຫມົດສະຕິ ,hmot sa ti, coma
,気,ໃຈ ,jay, mind
,木,ຕົ້ນໄມ້ ,ton2 mai2, tree
,木,ໄມ້ ,mai2, tree
,黄色kiiro,ສີເຫລືອງ ,sii hleuang, yellow
,黄色いkiiroi,ສີເຫລືອງ ,sii hleuang, yellow
,消える,ຫາຍ ,hhaay," disappear, loose"
,記憶,ຈື່ຈຳ ,jeu2 jam, put in a memory
,気温,ອົງສາ ,ong saa, degree
,機械kikai,ເຄື່ອງຈັກ ,kheuang1 jak, machine
,機会,ໂອກາດ ,oo kaat, chance
,着替える,ປ່ຽນເສື້ອ ,pian1 seua2, change
,着替えるki,ປ່ຽນຊຸດ ,pian1 xut, change
,期間,ກຳນົດເວລາ ,kam not wee laa, duration
,期間,ໄລຍະ ,lai nya, duration
,期間,ໄລຍະເວລາ ,lai nya wee laa, duration ໄລ່ 
,気管支炎,ຫລອດລົມ ,hloht lom, bronchitis
,効くkiku,ໃຊ້ໄດ້ຜົນ ,xay2 dai2 hpon, effective
,聞く,ຟັງ ,fang, listen
,機嫌がいい,ອາລົມດີ ,aa lom dii, good temper
,機嫌が悪い,ອາລົມບໍ່ດີ ,aa lom boh1 dii, bad temper
,期限,ກຳນົດ ,kam not, term
,機嫌,ອາລົມ ,aa lom, felling
,記号,ເຄື່ອງຫມາຍ ,kheuang1 hmaay, symbol
,気候,ອາກາດ ,aa kaat, whether
,聴こえるkikoeru,ໄດ້ຍິນ ,dai2 nyin, hear
,帰国,ກັບປະເທດ ,kap pa theet, return to country
,既婚,ແຕ່ງງານແລ້ວ ,taeng1 ngaan laew2, be married
,儀式gishiki,ພິທີ ,phi thii, ceremony
,期日,ກຳນົດ ,kam not, duration
,喜捨,ຕັກບາກ ,tak baat, give alms
,汽車,ລົດໄຟ ,lot fai, train
,技術,ສິນລະປະກຳ ,sin la pa kam, art
,技術者,ວິສະວະກອນ ,wi sa wa kohn, engineer
,基準,ມາດຕະຖານ ,maat ta htaan, standard
,起床,ຕື່ນນອນ ,teun1 nohn, get up
,キス,ຈູບ ,juup, kiss
,キス,ຫອມແກ້ມ ,hhohm kaem2, kiss
,傷,ຮອຍຄູດ ,hohy khuut, scratch
,傷,ບາດແຜ ,baat hpae, wound
,規制,ກົດເກນ ,kot keen, regulation
,規制kisei,ກົດລະບຽບ ,kot la biap, regulation
,犠牲,ການເສຍສະຫລະ ,kaan seey sa hla, sacrifice
,寄生虫,ເຊື້ອພະຍາດ ,xeua2 pha nyaat, bacteria
,季節,ຍາມ ,nyaam, season
,季節,ລະດູ ,la duu, season
,基礎kiso,ພື້ນຖານ ,pheun2 htaan, basis
,規則kisoku,ກົດລະບຽບ ,kot la biap, regulation
,北,ທິດເຫນືອ ,thit hneua, north
,北kita,ເຫນືອ ,hneua, north
,期待,ຫວັງວ່າ ,hhwang waa1, hope
,気体,ອາຍແກັດ ,aay ke't, gaseous body
,北朝鮮,ເກົາຫລີເຫນືອ ,kao hlii hneua, North Korea
,汚いkitanai,ເປື້ອນ ,peuan2, dirty
,基地,ຖານທັບ ,htaan thap, base
,議長gichoo,ປະທານ ,pa thaan, chairperson
,貴重品,ຂອງມີຄ່າ ,hkohng mii khaa1, valuable
,きちんと,ເປັນລະບຽບ ,pen la biap, neatly
,きつい,ຄັບ ,khap, tight
,喫茶店,ຮ້ານກາເຟ ,haan2 kaa fee, coffee shop
,切手,ສະແຕັມ ,sa te'm, stamp
,きっと,ຄົງຈະ ,khong ja, may be
,キップki¿pu,ເງີນກີບ ,ngern kiip, kip ( currency )
,切符,ປີ້ ,pii2, ticket
,記入,ຂຽນຟອມ ,hkian fohm, fill in  the form
,絹,ຜ້າໄຫມ ,hpaa2 hmai, silk
,記念,ລະລຶກ ,la luek, remember
,記念,ໃຫ້ເປັນທີ່ລະລຶກ ,hhay2 pen thii1 la luek, commemorate
,記念日,ມື້ລະລຶກ ,meu2 la luek, anniversary
,昨日kinoo,ມື້ວານນີ້ ,meu2 waan nii2, yesterday
,木の枝ki,ກິ່ງໄມ້ ,king1 mai2, tree branch
,気の毒,ຫນ້າເສຍດາຍ ,hnaa2 seey daay," unfortunate, pitiable"
,厳しい,ເຂັ້ມງວດ ,hkem2 nguat, strict
,寄付,ບໍລິຈາກ ,boh li jaak, donate
,気分がいい,ສະບາຍ ,sa baay, well
,気分がいい,ສະບາຍໃຈ ,sa baay jay, well
,気分が悪い,ບໍ່ສະບາຍ ,boh1 sa baay, unwell
,気分が悪い,ບໍ່ສະບາຍໃຈ ,boh1 sa baay jay, unwell
,希望,ຫວັງວ່າ ,hhwang waa1, hope 
,基本kihon,ພື້ນຖານ ,pheun2 htaan, basis
,決まりkimari,ຂໍ້ຕົກລົງ ,hkoh2 tok long, agreement
,決まるkimaru,ຕັດສິນໃຈ ,tat sin jay, be decided
,君,ເຈົ້າ ,jao2, you
,奇妙,ແປກ ,paek, strange
,奇妙,ແປກໃຈ ,paek jay, strange
,義務,ຫນ້າທີ່ ,hnaa2 thii1, duty
,義務教育,ການສຶກສາພາກບັງຄັບ ,kaan suek saa phaak bang khap, primary education
,決める,ຕັດສິນ ,tat sin, decide
,気持ち,ຄວາມຮູ້ສຶກ ,khwaam huu2 seuk, feeling
,気持ちがいい,ສະບາຍ ,sa baay, well
,気持ちがいい,ສະບາຍໃຈ ,sa bay jay, well
,気持ちが悪い,ບໍ່ສະບາຍ ,boh1 sa bay , unwell
,気持ちが悪い,ບໍ່ສະບາຍໃຈ ,boh1 sa bay jay, unwell 
,疑問gimon,ຄຳຖາມ ,kham htaam, question
,客,ແຂກ ,hkaek, guest
,客,ລູກຄ້າ ,luuk khaa2, guest
,逆gyaku,ລວງປີ້ນ ,luang piin2, opposite
,キャッシュカード,ບັດເຄດິດ ,bat khee dit, credit card
,キャベツ,ກະລ່ຳປີ ,ka lam1 pii, cabbage
,キャンセル,ຍົກເລີກ ,nyok lerk, cancel
,キャンセル待ち,ຜູ້ລໍຖ້າສຳຮອງ ,hpuu2 loh htaa2 sam hohng, waiting list
,急,ດ່ວນ ,duan1, urgent
,九（９）,ເກົ້າ ,kao2, nine
,休暇,ການພັກວຽກ ,kaan phak wiak, vacation 
,救急車,ລົດໂຮງຫມໍ ,lot hoong hmoh, ambulance car
,休憩,ພັກຜ່ອນ ,phak hpohn1, rest
,休日kyuujitsu,ມື້ພັກ ,meu2 phak, holiday
,給食kyuushoku,ກິນເຂົ້າທ່ຽງຢູ່ໂຮງຮຽນ ,kin hkao2 thiang1 yuu1 hoong hian, school lunch
,急須,ເຕົ້ານ້ຳຊາ ,tao2 nam2 xaa, teapot
,旧跡,ບູຮານສະຖານ ,buu haan sa htaan, ancestral site
,牛肉gyuuniku,ຊີ້ນງົວ ,xiin2 ngua, beef
,牛乳gyuunyuu,ນົມ ,nom, milk
,急用kyuuyoo,ວຽກດ່ວນ ,wiak duan1, urgent work
,キュウリ,ຫມາກແຕງ ,hmaak taeng, cucumber
,給料,ເງີນເດືອນ ,ngern deuan, salary
,今日,ມື້ນີ້ ,meu2 nii2, today
,教育,ການສຶກສາ ,kaan suek saa, education
,教育,ສຶກສາ ,suek saa, educate
,教会,ວັດຝະລັ່ງ ,wat hpa lang1, church
,教科書kyookasho,ຕຳລາ ,tam laa, text book
,教科書,ປຶ້ມຮຽນ ,puem2 hian, text book
,競技,ແຂ່ງຂັນ ,hkaeng1 hkan, play game
,行儀がいい,ມາລະຍາດດີ ,maa la nyaat dii, good manner
,行儀が悪いgyoogi,ມາລະຍາດບໍ່ດີ ,maa la nyaat boh1 dii, bad manner
,競技場,ເດີ່ນກິລາ ,dern1 ki laa, stadium
,狂牛病,ໂລກງົວບ້າ ,look ngua baa2, BSE
,狂犬病,ໂລກຢ້ານນ້ຳ ,look yaan2 nam2, rabies
,共産主義,ສັງຄົມນິຍົມ ,sang khom ni nyom, socialist
,行事,ງານສຳຄັນ ,ngaan sam khan, event
,教師,ຄູ ,khuu, teacher
,教師kyooshi,ອາຈານ ,aa jaan, teacher 
,行事,ເຫດການສຳຄັນ ,hheet kaan sam khan, event
,教室,ຫ້ອງຮຽນ ,hhohng2 hian, classroom
,競争,ແຂ່ງຂັນ ,hkaeng1 hkan, compete
,兄弟,ອ້າຍເອື້ອຍນ້ອງ ,aay2 euay2 nohng2, brother and sister
,共通kyootsuu,ທົ່ວໄປ ,thua1 pai, common
,共同kyoodoo,ຮ່ວມກັນ ,huam1 kan, jointly
,郷土料理kyoodo,ອາຫານທ້ອງຖິ່ນ ,aa hhaan thohng2 htiin1, local food
,興味,ສົນໃຈ ,son jay, being interested
,（～）行目(～),ແຖວທີ ,htaew thii, ~th line
,協力,ຮ່ວມກັນ ,huam1 kan, collaborate
,協力,ຮ່ວມມືຊ່ວຍກັນ ,huam1 meu xuay1 kan, co operate
,許可,ການອະນຸຍາດ ,kaan a nu nyaat, permission
,許可,ອະນຸຍາດ ,a nu nyaat, permission
,去年kyonen,ປີກາຍ ,pii kaay, last year
,距離,ໄລຍະ ,lai nya, duration
,協力,ກິລິຍາບໍ່ດີ ,kaan huam1 meu, co operation
,協力,ຮ່ວມມື ,huam1 meu, cooperate
,嫌う,ຊັງ ,xang, hate
,嫌う,ບໍ່ມັກ ,boh1 mak, hate
,霧,ຫມອກ ,hmohk, fog
,キリスト教kirisuto,ສາດສະຫນາຄິດ ,saat sa hnaa khit, Christian
,起立,ລຸກຂຶ້ນ ,luk hkuen2, stand up
,着る,ໃສ່ ,say1, put on
,切る,ຕັດ ,tat, cut
,着る,ນຸ່ງ ,nung1, put on
,切る,ມອດ ,moht, switch off
,綺麗,ງາມ ,ngaam, beautiful
,綺麗,ຮຽບຮ້ອຍ ,hiap hohy2 , completely
,切れる,ຂາດ ,hkaat, be cut
,切れる,ສາມາດຕັດ ,saa maat tat, can cut
,（～）キロ(～),ກິໂລກາມ ,ki loo kaam, ~ kilogram
,（～）キロ(～),ກິໂລແມັດ ,ki loo me't, ~ kilometer
,（～）キロ,ໂລ ,loo, ~ kilogram
,記録kiroku,ບັນທຶກ ,ban thuek, record
,議論,ປຶກສາ ,puek  saa, discuss
,金,ຄຳ ,kham, gold
,銀,ເງີນ ,ngern, silver
,禁煙,ເຊົາສູບຢາ ,xao suup yaa, quit smoking
,禁煙席,ບ່ອນຫ້າມສູບຢາ ,bohn1 hhaam2 suup yaa, no smoking area 
,近眼,ສາຍຕາສັ້ນ ,saay taa san2, nearsighted
,緊急,ສຸກເສີນ ,suk sern, emergency
,銀行,ທະນາຄານ ,tha naa khaan, bank
,禁止,ຫ້າມ ,hhaam2, prohibit
,近所kinjo,ບ້ານໃກ້ ,baan2 kai2, near and far
,金属kinzoku,ໂລຫະ ,loo hha, metal
,近代化,ການພັດທະນາ ,kaan phat tha naa, development
,緊張,ຄວາມເຄັ່ງຕຶງ ,khwaam kheng1 tueng, pressure
,筋肉,ກ້າມ ,kaam2, muscle 
,金髪,ຜົມສີທອງ ,hpom sii thohng, blond hair
,勤勉,ດຸຫມັ່ນ ,du hman1, hard working
,勤勉,ຫມັ່ນ ,hman1, hard working
,勤務,ເຂົ້າຮ່ວມວຽກ ,hkao2 huam1 wiak, attend to work
,金曜日kin,ວັນສຸກ ,wan suk, Friday
,九（９）,ເກົ້າ ,kao2, nine
,区,ເມືອງ ,meuang, district
,具合,ສະພາບ ,sa phaap, condition
,グアバ,ຫມາກສີດາ ,hmaak sii daa, guava
,食いしん坊,ຄົນມັກກິນ ,khon mak kin, greedy pig
,クイズ,ແກມຕໍ່ໂຕຫນັງສື ,kaem toh1 too hnang seu, quiz
,空気,ອາກາດ ,aa kaat, air
,空港kuukoo,ເດີ່ນບິນ ,dern1 bin, airport
,偶然,ບັງເອີນ ,bang ern, accidentally
,空腹,ຫິວ ,hhiw, hungry
,空腹,ຫິວເຂົ້າ ,hhiw hkao2, hungry
,クーラー,ແອ ,ae, room cooler
,９月,ເດືອນກັນຍາ ,deuan kan nyaa, September
,９月,ກັນຍາ ,kan yaa, September
,茎,ລຳຕົ້ນ ,lam ton2, stem
,釘,ຕະປູ ,ta puu, nail
,草,ຫຍ້າ ,hyaa2, grass
,臭い,ເຫມັນ ,hmen, bad smell
,腐りやすい,ເນົ່າໄວ ,nao1 wai, easily spoiled
,腐りやすい,ບູດໄວ ,buut wai, easily spoiled
,腐る,ເນົ່າ ,nao1, spoiled
,腐る,ບູດ ,buut, spoiled
,串,ໄມ້ສຽບ ,mai2 siap, spit
,櫛,ຫວີ ,hhwii, comb
,苦情,ຮ້ອງທຸກ ,hohng2 thuk, complain
,苦心,ເຮັດວຽກຫນັກ ,het wiak hnak, work hard
,屑,ຂີ້ເຫຍື້ອ ,hkii2 hyeua2, rubbish
,くすぐったい,ກະດຽມ ,ka diam, ticklish
,崩すkuzusu,ທຳລາຍ ,tham laay, destroy
,薬,ຢາ ,yaa, drug 
,薬屋,ຮ້ານຂາຍຢາ ,haan2 hkaay yaa, pharmacy
,薬指kusuri,ນິ້ວນາງ ,niw2 naang, ring finger
,崩れる,ຖືກທຳລາຍລົງ ,hteuk tham laay long , collapse
,癖,ນິໃສ ,ni say, habit
,管,ທໍ່ ,thoh1, pipe
,（～て）下さい,ກະລຸນາ ,ka lu naa, please (v)
,（～を）下さい,ເອົາ(~)ໃຫ້ ,ao (~) hhay2, give me ~
,果物kudamono,ຫມາກໄມ້ ,hmaak mai2, fruit
,口が悪い,ປາກບໍ່ດີ ,paak boh1 dii, gossip
,口が軽い,ປາກໂປ້ງ ,paak poong2, slanderous
,口がうまい,ປາກຫວານ ,paak hhwaan, faire of speech
,口が重い,ຫນັກປາກ ,hnak paak, hard to say
,口,ປາກ ,paak, mouth
,口喧嘩,ຖຽງກັນ ,htiang kan, argue
,唇kuchibiru,ຮິມສົບ ,him sop, lips
,口紅kuchibeni,ລິບສະຕິກ ,lip sa tik, lipstick
,靴,ເກີບ ,kerp, shoe
,靴下kutsushita,ຖົງຕີນ ,htong tiin, sock
,くっつくku¿tsuku,ຕິດຢູ່ ,tit yuu1, stick
,くっつけるku¿tsukeru,ຕິດ ,tit, stick
,靴箱,ຕູ້ໃສ່ເກີບ ,tuu2 say1 kerp, shoe case
,靴屋,ຮ້ານຂາຍເກີບ ,haan2 hkaay kerp, shoe shop
,句点,ຈຸດ ,jut, dot
,功徳,ບຸນ ,bun, merit
,口説くkudoku,ລົມສາວ ,lom saaw, persuade
,国,ປະເທດ ,pa theet, country
,配るkubaru,ແຈກຢາຍ ,jaek yaay, distribute
,首,ຄໍ ,khoh, neck
,首,ໄລ່ອອກວຽກ ,lai1 ohk wiak, fire
,工夫,ຄິດອອກ ,khit ohk, devise
,区別,ຈຳແນກ ,jam naek, distinguish
,組,ຄູ່ ,khuu1, pair
,（～）組,ທີມ ,thiim, ~ team
,汲む,ຕັກ ,tak, draw
,組む,ປະກອບ ,pa kohp, assemble
,雲,ຂີ້ເຝື້ອ ,hkii2 hfeua2, cloud
,蜘蛛kumo,ແມງມຸມ ,maeng mum, spider
,曇り,ຄຶ້ມ ,khuem2, cloudy
,曇り,ຟ້າບົດ ,faa2 bot, cloudy
,曇る,ກາຍເປັນຄຶ້ມ ,kaay pen khuem2, become cloudy
,暗いkurai,ມືດ ,meut, dark
,クラシックkurashi¿ku,ກາດສິກ ,kaat sik, classic
,暮らすkurasu,ອາໃສຢູ່ ,aa say yuu1, live
,クラスメート,ຫມູ່ຫ້ອງຮຽນດຽວກັນ ,hmuu1 hhohng2 hian diaw kan, classmate
,クラブkurabu,ສະໂມສອນ ,sa moo sohn, club
,クラブ活動,ກິດຈະກຳຂອງສະໂມສອນ ,kit ja kam hkohng sa moo sohn, club activities
,比べるkuraberu,ປຽບທຽບ ,piap thiap, compare
,（～）グラム,ກາມ ,kaam, ~ gram
,栗,ຫມາກກໍ່ ,hmaak koh1, chestnut
,クリーニング,ຊັກແຫ້ງ ,xak hhaeng2, dry clean
,くり返すkurikaesu,ຊ້ຳ ,xam2, again
,クリスマス,ຄິດສະມາດ ,khit sa maat, Christmas
,来る,ມາ ,maa, come
,狂うkuruu,ກາຍເປັນບ້າ ,kaay pen baa2, go mad
,グループguruupu,ກຸ່ມ ,kum1, group
,グループguruupu,ຄະນະ ,kha na, group
,苦しいkurushii,ເຈັບປວດ ,jep puat, painful
,苦しむ,ຖຶກທໍລະມານ ,htuek thoh la maan, suffer from
,車,ລົດ ,lot, car
,車,ລົດໃຫຍ່ ,lot hyay1, car
,クレジットカード,ບັດເຄດິດ ,bat khee dit, credit card
,ぐれる,ເສລີບີຮົ່ວ ,see lii bii hua1, disobey
,黒,ສີດຳ ,sii dam, black color 
,黒い,ສີດຳ ,sii dam, black
,苦労,ຍາກ ,nyaak, difficult
,苦労,ລຳບາກ ,lam baak, difficult
,クロスワードパズル,ແກມຕໍ່ໂຕຫນັງສື ,kaem toh1 too hnang seu, crossword puzzle
,加えるkuwaeru,ເພີ່ມ ,pherm1, add
,詳しいkuwashii,ຮູ້ດີ ,huu2 dii, know well
,詳しくkuwashiku,ລະອຽດ ,la iat," elaborate, detailed"
,（～）君,ຄຳລົງທ້າຍຄຳນາມ ,kham long thaay2 kham naam, (makes friendly name)
,郡,ເມືອງ ,meuang, district
,ぐんぐんgungun,ປົ່ງຂຶ້ນຢ່າງໄວວາ ,pong1 hkuen2 yaang1 wai waa, rapidly
,軍人gunjin,ທະຫານ ,tha hhaan, soldier
,軍隊,ກອງທະຫານ ,kohng tha hhaan, army
,訓練,ຝຶກ ,hfuek, train (p)
,毛,ຜົມ ,hpom, hair
,経営,ປະກອບກິດຈະການ ,pa kohp kit ja kaan, run a business
,経営者,ຜູ້ຈັດການ ,hpuu2 jat kaan, manager
,警戒,ລະມັດລະວັງ ,la mat la wang, be cautious
,計画,ໂຄງການ ,khoong kaan, project
,景気,ສະພາບເສດຖະກິດ ,sa phaap seet hta kit, business circumstances
,敬虔,ສັດທາ ,sat thaa, shiny
,経験,ປະສົບການ ,pa sop kaan, experience
,傾向keikoo,ແນວໂນ້ມ ,naew noom2, trend
,経済,ເສດຖະກິດ ,seet  hta kit, economic
,経済学,ເສດຖະສາດ ,seet hta saat, economic
,経済危機keizai,ວິກິດທາງເສດຖະກິດ ,wi kit thaang seet hta kit, economic crisis
,経済成長,ເສດຖະກິດກ້າວຫນ້າ ,seet hta kit kaaw2 hnaa2, economic progress
,警察keisatsu,ຕຳຫລວດ ,tam hluat, police
,警察官,ຕຳຫລວດ ,tam hluat, policeman
,警察署keisatsu,ສະຖານນີຕຳຫລວດ ,sa htaan nii tam hluat, police station
,計算,ຄິດໄລ່ ,khit lai1, calculate
,計算,ຄຳນວນ ,kham nuan, calculate 
,傾斜,ລະດັບຄວາມເນີ້ງ ,la dap khwaam nerng2, slant
,芸術geijutsu,ສິນລະປະ ,sin la pa , art
,芸術家,ສິນລະປິນ ,sin la pin, artist
,芸術品,ສິນລະປະກຳ ,sin la pa kam, art
,携帯電話,ມືຖື ,meu hteu, mobile phone
,競馬,ການແຂ່ງມ້າ ,kaan hkaeng1 maa2, horse racing
,経費,ຄ່າໄຊ້ຈ່າຍ ,khaa1 xai2 jaay1, expense
,経費,ຄ່າໃຊ້ຈ່າຍ ,khaa1 xay2 jaay1, expenses
,軽蔑,ດູຖູກ ,duu htuuk, look down on
,刑務所,ຕິດຄຸກ ,tit khuk, be in jail
,刑務所,ຄຸກ ,khuk, jail
,契約,ເຮັດສັນຍາ ,het san nyaa, make contract
,契約書,ຫນັງສືສັນຍາ ,hnang seu san nyaa, contract document
,ケーキ,ເຄັກ ,khek, cake
,ゲーム,ເກມ ,keem, game
,ケーン,ແຄນ ,khaen, Lao music instrument
,怪我,ບາດເຈັບ ,baat jep, wound
,外科,ແພດຜ່າຕັດ ,phaet hpaa1 tat, surgeon
,劇,ລະຄອນ ,la khohn, drama
,劇場,ໂຮງລະຄອນ ,hoong la khohn, theater
,下校,ເລີກໂຮງຮຽນ ,lerk hoong hian, leave school
,今朝kesa,ມື້ເຊົ້ານີ້ ,meu2 xao2 nii2, this morning
,下剤gezai,ຢາຖ່າຍ ,yaa htaay1, laxative
,景色keshiki,ທິວທັດ ,thiw that, panorama
,消しゴムkeshi,ຢາງລຶບ ,yaang luep, rubber
,化粧,ແຕ່ງຫນ້າ ,taeng1 hnaa2, make-up
,化粧品,ເຄື່ອງສຳອາງ ,kheuang1 sam aang, cosmetic
,消す,ລຶບ ,luep, erase
,ゲストハウス,ເຮືອນພັກ ,heuan phak, guesthouse
,削る,ຝານ ,hfaan, plane
,けち,ຂີ້ຖີ່ ,hkii2 htii1, stingy
,血圧,ຄວາມດັນເລືອດ ,khwaam dan leuat, blood pressure
,血液型,ຫມວດເລືອດ ,hmuat leuat, blood group
,結果,ຜົນ ,hpon, result
,結果ke¿ka,ຜົນງານ ,hpon ngaan, result
,結核ke¿kaku,ວັນນະໂລກ ,wan na look, tuberculosis
,月給,ເງີນເດືອນ ,ngern deuan, monthly salary
,結局ke¿kyoku,ທ້າຍສຸດ ,thaay2 sut, finally
,月経,ປະຈຳເດືອນ ,pa jam deuan, menstruation
,結婚,ກິນດອງ ,kin dohng, marry
,結婚,ສ້າງຄອບຄົວ ,saang2 khohp khua, get married
,結婚,ແຕ່ງງານ ,taeng1 ngaan, get married
,結婚式,ກິນດອງ ,kin dohng, attend wedding party
,決して（～ない）,ບໍ່ເຄີຍ ,boh1 khery, definitely (not)
,決心,ຕົກລົງໃຈ ,tok long jay, determine
,欠席,ການຂາດຮຽນ ,kaan hkaat hian, absence
,欠席,ຂາດຮຽນ ,hkaat  hian, absence 
,決定,ຕັດສິນ ,tat sin, decide
,欠点,ຈຸດຜິດພາດ ,jut hpit phaat, weak point
,月賦ge¿pu,ເງີນດາວ ,ngern daaw, monthly installment plan
,月賦ge¿pu,ເງີນຜ່ອນ ,ngern hpohn1, monthly installment plan
,ゲップ,ເອື້ອມ ,euam2, belch
,月曜日getsu,ວັນຈັນ ,wan jan, Monday
,（～）けど,ແຕ່ ,tae1, but
,けど,ແຕ່ວ່າ ,tae1 waa1, but
,解熱剤,ຢາດີໄຂ້ ,yaa dii hkai2, antipyretic
